dataEfetiva,categoria,valorEfetivo,descricao
2025-07-03T00:00:00,1.2.7 Empréstimo Mútuo,15000.0,EMPRESTIMO INOVAR 
2025-07-07T00:00:00,1.2.7 Empréstimo Mútuo,35000.0,EMPRESTIMO INOVAR 
2025-07-24T00:00:00,1.2.7 Empréstimo Mútuo,5000.0,EMPRESTIMO INOVAR 
2025-07-25T00:00:00,1.2.7 Empréstimo Mútuo,3000.0,EMPRESTIMO INOVAR 
2025-07-10T00:00:00,1.2.1 Empréstimo Bancário,30000.0,EMPRESTIMO MUTUO 
2025-07-30T00:00:00,1.2.7 Empréstimo Mútuo,50000.0,EMPRESTIMO MUTUO 
2025-07-10T00:00:00,1.2.7 Empréstimo Mútuo,10000.0,EMPRESTIMO RUMO 
2025-07-23T00:00:00,1.2.7 Empréstimo Mútuo,10000.0,EMPRESTIMO RUMO 
2025-07-14T00:00:00,1.1.6 Taxa de Seguro,200.0,GUINCHO 
2025-07-28T00:00:00,1.3.4 Juros e Multas recebidas,36.81,JUROS 
2025-07-28T00:00:00,1.3.4 Juros e Multas recebidas,35.39,JUROS 
2025-07-28T00:00:00,1.3.4 Juros e Multas recebidas,25.46,JUROS 
2025-07-29T00:00:00,1.3.4 Juros e Multas recebidas,4.35,JUROS 
2025-07-29T00:00:00,1.3.4 Juros e Multas recebidas,13.94,JUROS 
2025-07-29T00:00:00,1.3.4 Juros e Multas recebidas,29.81,JUROS 
2025-07-29T00:00:00,1.3.4 Juros e Multas recebidas,39.07,JUROS 
2025-07-29T00:00:00,1.3.4 Juros e Multas recebidas,53.25,JUROS 
2025-07-30T00:00:00,1.3.4 Juros e Multas recebidas,29.91,JUROS 
2025-07-08T00:00:00,1.3.4 Juros e Multas recebidas,167.78,JUROS - TAXA DE MANUTENÇÃO 
2025-07-14T00:00:00,1.1.2 Taxa de Manutenção,164.0,JUROS - TAXA DE MANUTENÇÃO 
2025-07-15T00:00:00,1.1.2 Taxa de Manutenção,114.27,JUROS - TAXA DE MANUTENÇÃO 
